"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.126994040E-1,2.981825471E-1,-1.003704071E-1,1.952171326E-3,3.146281313E-1
7.177040780E-1,2.961544991E-1,-1.025724411E-1,2.586364746E-3,3.134250824E-1
7.226785400E-1,2.189107537E-1,4.695200920E-2,3.530502319E-3,2.239171135E-1
7.276834630E-1,2.170108557E-1,4.658842087E-2,3.681182861E-3,2.219859084E-1
7.326883860E-1,6.368753314E-2,4.089879990E-2,1.205158234E-2,7.664237958E-2
7.376933090E-1,6.376293302E-2,1.526272297E-1,1.292133331E-2,1.659148689E-1
7.426981550E-1,6.330335140E-2,1.515915394E-1,1.320648193E-2,1.648081317E-1
7.477030770E-1,-1.196637750E-2,1.862328053E-1,4.810810089E-2,1.927180358E-1
7.526773080E-1,-1.133874059E-2,1.829462051E-1,4.895496368E-2,1.897220849E-1
7.576822310E-1,-4.948154092E-2,2.941968441E-1,4.993247986E-2,3.024788563E-1
7.626871350E-1,-4.905623198E-2,2.914404869E-1,5.064773560E-2,2.998487359E-1
7.676919810E-1,-8.643135428E-2,4.026072025E-1,-3.429698944E-2,4.132060285E-1
7.726969190E-1,-8.570560813E-2,3.987481594E-1,-3.329563141E-2,4.092116139E-1
7.777018420E-1,-1.618403941E-1,3.956258297E-1,-3.249168396E-2,4.286814899E-1
7.827065350E-1,-1.609596163E-1,3.544991016E-1,-3.771305084E-2,3.911519978E-1
7.877114580E-1,-1.600859016E-1,3.514966965E-1,-3.693962097E-2,3.879973700E-1
7.926859190E-1,-1.970063150E-1,4.242835045E-1,-3.610038757E-2,4.691814343E-1
7.976908430E-1,-1.959792376E-1,4.210417271E-1,-3.526496887E-2,4.657548878E-1
8.026957660E-1,-1.575604528E-1,4.188456535E-1,-3.791809082E-3,4.475168774E-1
8.077006250E-1,-1.576171666E-1,4.169020653E-1,-3.271102905E-3,4.457142620E-1
8.127055480E-1,-2.703916430E-1,4.151930809E-1,-2.848625183E-3,4.954846614E-1
8.177104620E-1,-2.685458064E-1,4.124755859E-1,-3.412342072E-2,4.933734559E-1
8.226846160E-1,-2.671702802E-1,4.104917049E-1,-3.363037109E-2,4.909321749E-1
8.276895390E-1,-1.525347382E-1,3.707160950E-1,-3.315925598E-2,4.022397366E-1
8.326944900E-1,-1.519088596E-1,3.689062595E-1,-3.269100189E-2,4.002959300E-1
8.376994130E-1,1.844793558E-3,2.527515888E-1,-2.143573761E-2,2.536656456E-1
8.427041050E-1,1.549601555E-3,2.516567707E-1,-2.113342285E-2,2.525473284E-1
8.476787660E-1,3.889989853E-2,2.128205299E-1,-2.087879181E-2,2.173515678E-1
8.526834580E-1,1.146953106E-1,2.497234344E-1,-2.056407928E-2,2.755715685E-1
8.576883890E-1,1.135335565E-1,2.489378452E-1,-2.122020721E-2,2.744270694E-1
8.626933120E-1,7.379159331E-2,2.098796368E-1,-2.090072632E-2,2.234535780E-1
8.676981580E-1,7.305559516E-2,2.087814808E-1,-2.058410645E-2,2.221497966E-1
8.727031200E-1,1.492230594E-1,1.684775352E-1,2.374458313E-2,2.263095371E-1
8.776773510E-1,1.482989490E-1,1.671860218E-1,2.411937714E-2,2.247787546E-1
8.826821970E-1,1.473385692E-1,1.280157566E-1,2.443504333E-2,1.967072933E-1
8.876871300E-1,1.464272439E-1,1.648397446E-1,2.480602264E-2,2.218747798E-1
8.926920530E-1,1.458471715E-1,1.625483036E-1,2.649116516E-2,2.199889322E-1
8.976969670E-1,-7.089108229E-3,1.615290642E-1,2.676486969E-2,1.638848751E-1
9.027016590E-1,-6.616890430E-3,1.592435837E-1,2.736949921E-2,1.617139192E-1
9.077067940E-1,1.075739264E-1,1.186282635E-1,-2.997970581E-2,1.629220590E-1
9.126810250E-1,1.068757176E-1,1.161429882E-1,-2.928543091E-2,1.605280324E-1
9.176859480E-1,3.005242348E-2,1.515622139E-1,-2.856254578E-2,1.571307477E-1
9.226907890E-1,3.028419614E-2,1.483974457E-1,-2.770996094E-2,1.539700502E-1
9.276957120E-1,3.051805496E-2,1.452798843E-1,-2.581977844E-2,1.506793199E-1
9.327006350E-1,6.844437122E-2,2.187590599E-1,-2.487277985E-2,2.305619514E-1
9.377055580E-1,6.820946932E-2,2.154376507E-1,-2.396106720E-2,2.272444626E-1
9.426797890E-1,-7.321238518E-3,1.743640900E-1,-2.311801910E-2,1.760422654E-1
9.476846300E-1,-6.958633661E-3,1.715068817E-1,3.602027893E-3,1.716857818E-1
9.526895530E-1,3.095397353E-2,2.052690983E-1,4.750251770E-3,2.076442055E-1
9.576944760E-1,3.074741364E-2,2.039201260E-1,5.125999451E-3,2.062888681E-1
9.626993790E-1,1.067168713E-1,8.708310127E-2,7.595062256E-3,1.379479688E-1
9.677040720E-1,1.437079012E-1,1.997067928E-1,8.293151855E-3,2.461778632E-1
9.726785190E-1,1.426074505E-1,1.972973347E-1,8.988380432E-3,2.436060635E-1
9.776834420E-1,1.413549781E-1,8.052730560E-2,9.498596191E-3,1.629604250E-1
9.826882890E-1,1.399691999E-1,7.934403419E-2,1.091480255E-2,1.612637144E-1
9.876932120E-1,1.386532485E-1,1.160306931E-1,1.134300232E-2,1.811532742E-1
9.926981350E-1,1.373439729E-1,1.146287918E-1,1.176834106E-2,1.792808430E-1
9.977030580E-1,9.821426868E-2,1.895673275E-1,-1.164531708E-2,2.138163409E-1
1.002677289E0,9.733536839E-2,1.878874302E-1,-1.115608215E-2,2.118969526E-1
1.007682212E0,9.646281600E-2,1.862194538E-1,-1.066875458E-2,2.099918622E-1
