"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.373830944E1,6.504531863E1,2.543757090E1,4.517800981E0,2.200000000E1,1.090000033E0,2.513000031E2,9.796476551E-2,2.500000000E0,3.000000000E0,3.000000000E1
8.474746386E1,6.504530807E1,2.543755188E1,4.517803405E0,2.200000000E1,1.289999962E0,2.598999939E2,9.897707641E-2,2.500000000E0,3.000000000E0,3.000000000E1
8.574342363E1,6.504530270E1,2.543753444E1,4.517803871E0,2.200000000E1,1.079999924E0,2.698999939E2,9.987056676E-2,2.500000000E0,3.000000000E0,2.900000000E1
8.675011209E1,6.504529646E1,2.543752246E1,5.517805232E0,2.300000000E1,1.139999986E0,2.727000122E2,1.012274787E-1,2.500000000E0,3.000000000E0,3.000000000E1
8.774724844E1,6.504529256E1,2.543749505E1,5.517804117E0,2.300000000E1,1.519999981E0,2.682000122E2,1.023218969E-1,2.500000000E0,3.000000000E0,3.000000000E1
8.874744167E1,6.504528644E1,2.543747677E1,5.517804808E0,2.300000000E1,8.999999762E-1,2.733999939E2,1.036630389E-1,2.500000000E0,3.000000000E0,3.100000000E1
8.974625594E1,6.504528141E1,2.543745079E1,5.517804294E0,2.300000000E1,1.319999933E0,2.617000122E2,1.051355078E-1,2.500000000E0,3.000000000E0,3.000000000E1
9.074475901E1,6.504527571E1,2.543742246E1,6.517803823E0,2.400000000E1,1.559999943E0,2.647000122E2,1.067669686E-1,2.500000000E0,3.000000000E0,3.000000000E1
9.174572528E1,6.504527253E1,2.543738851E1,6.517801774E0,2.400000000E1,1.049999952E0,2.680000000E2,1.080465333E-1,2.500000000E0,3.000000000E0,3.000000000E1
9.274883466E1,6.504527512E1,2.543736194E1,7.517798097E0,2.500000000E1,1.120000005E0,2.766000061E2,1.093651474E-1,2.500000000E0,3.000000000E0,3.000000000E1
9.374612436E1,6.504527181E1,2.543733495E1,7.517796785E0,2.500000000E1,1.529999971E0,2.805000000E2,1.107198888E-1,2.500000000E0,3.000000000E0,3.000000000E1
9.475347705E1,6.504527114E1,2.543730612E1,8.517794216E0,2.600000000E1,1.269999981E0,2.923999939E2,1.117767632E-1,2.500000000E0,3.000000000E0,2.900000000E1
9.574741297E1,6.504527223E1,2.543728374E1,8.517791566E0,2.600000000E1,1.009999990E0,2.947000122E2,1.131322728E-1,2.500000000E0,3.000000000E0,3.100000000E1
9.674728682E1,6.504527345E1,2.543725499E1,8.517788237E0,2.600000000E1,1.629999995E0,2.951000061E2,1.146330729E-1,2.500000000E0,3.000000000E0,2.700000000E1
9.774721097E1,6.504527186E1,2.543722322E1,9.517785754E0,2.700000000E1,1.199999928E0,2.847999878E2,1.158511450E-1,2.500000000E0,3.000000000E0,2.700000000E1
9.875037112E1,6.504526695E1,2.543720000E1,9.517785464E0,2.700000000E1,9.899999499E-1,2.815000000E2,1.169290830E-1,2.500000000E0,3.000000000E0,2.800000000E1
9.975060850E1,6.504526331E1,2.543717871E1,9.517784851E0,2.700000000E1,1.049999952E0,2.841000061E2,1.181315967E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.007493330E2,6.504526046E1,2.543715399E1,9.517783575E0,2.700000000E1,1.049999952E0,2.812000122E2,1.192420593E-1,2.500000000E0,3.000000000E0,3.000000000E1
1.017497319E2,6.504526176E1,2.543713052E1,1.051778073E1,2.800000000E1,6.800000072E-1,2.782999878E2,1.200401705E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.027474909E2,6.504525656E1,2.543711878E1,9.517781694E0,2.700000000E1,4.799999893E-1,2.763999939E2,1.209684655E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.037479980E2,6.504525275E1,2.543710118E1,8.517781514E0,2.600000000E1,8.700000048E-1,2.583999939E2,1.225642919E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.047487177E2,6.504524344E1,2.543707528E1,8.517782754E0,2.600000000E1,1.029999971E0,2.413000031E2,1.243740033E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.057496663E2,6.504523703E1,2.543703983E1,8.517781874E0,2.600000000E1,1.319999933E0,2.380000000E2,1.261021934E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.067482330E2,6.504523091E1,2.543700596E1,9.517781031E0,2.700000000E1,1.179999948E0,2.466000061E2,1.274981144E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.077457278E2,6.504522810E1,2.543697696E1,9.517779318E0,2.700000000E1,1.199999928E0,2.456999969E2,1.291910564E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.087454703E2,6.504521997E1,2.543694645E1,9.517779627E0,2.700000000E1,1.309999943E0,2.431999969E2,1.306342964E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.097494288E2,6.504521260E1,2.543692114E1,9.517780140E0,2.700000000E1,1.319999933E0,2.445000000E2,1.318765465E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.107449918E2,6.504520685E1,2.543689842E1,9.517780244E0,2.700000000E1,1.329999924E0,2.473000031E2,1.329969948E-1,2.500000000E0,3.000000000E0,2.700000000E1
1.117425299E2,6.504520568E1,2.543687470E1,1.051777839E1,2.800000000E1,1.139999986E0,2.505000000E2,1.342787544E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.127474187E2,6.504520078E1,2.543684998E1,1.051777795E1,2.800000000E1,1.240000010E0,2.478999939E2,1.357058836E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.137465725E2,6.504519147E1,2.543682902E1,1.151777968E1,2.900000000E1,1.189999938E0,2.363999939E2,1.371956580E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.147482471E2,6.504518741E1,2.543679876E1,1.151777836E1,2.900000000E1,1.199999928E0,2.501000061E2,1.384069989E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.157473515E2,6.504518439E1,2.543677395E1,1.151777714E1,2.900000000E1,9.499999881E-1,2.620000000E2,1.397085805E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.167400824E2,6.504518435E1,2.543674621E1,1.251777443E1,3.000000000E1,1.009999990E0,2.637000122E2,1.413537397E-1,2.500000000E0,3.000000000E0,2.900000000E1
