"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.034609909E0,6.618954986E-2,-1.518270969E-1,5.795574188E-2,1.754747614E-1
1.039584140E0,-7.397279143E-3,-1.876590252E-1,5.744361877E-2,1.963934796E-1
1.044589039E0,-7.339991629E-3,-1.859835386E-1,5.715942383E-2,1.947073492E-1
1.049608654E0,-4.900380969E-3,-3.121435642E-2,5.493640900E-2,6.337474902E-2
1.054598803E0,-1.559006572E-1,1.072573662E-2,5.447387695E-2,1.654915696E-1
1.059603726E0,-1.528811455E-1,1.362323761E-2,5.401897430E-2,1.627153552E-1
1.064608635E0,-2.640411258E-1,9.204030037E-2,5.366516113E-2,2.847263292E-1
1.069597635E0,-2.604312301E-1,9.443390369E-2,7.130622864E-2,2.860537817E-1
1.074588020E0,-2.187531888E-1,1.742434502E-1,7.085895538E-2,2.885042965E-1
1.079592712E0,-2.160887271E-1,1.770833731E-1,7.041740417E-2,2.881171113E-1
1.084597635E0,-2.900602221E-1,1.799226999E-1,6.998252869E-2,3.484317218E-1
1.089617231E0,-1.724308133E-1,1.824837923E-1,2.653980255E-2,2.524620386E-1
1.094607384E0,-1.704382598E-1,1.854197979E-1,2.607631683E-2,2.531988866E-1
1.099612307E0,-5.422192812E-2,7.403206825E-2,2.548217773E-2,9.523710412E-2
1.104586548E0,-5.306340754E-2,7.767784595E-2,2.489185333E-2,9.730969805E-2
1.109606164E0,-8.967690170E-2,1.576747894E-1,3.433227539E-3,1.814251167E-1
1.114596394E0,-8.807432652E-2,1.646187305E-1,2.306938171E-3,1.867129760E-1
1.119601246E0,-1.260394007E-1,2.009652853E-1,2.587318420E-3,2.372333675E-1
1.124606169E0,-1.619081050E-1,2.841182947E-1,1.594543457E-3,3.270167923E-1
1.129625606E0,-1.607352197E-1,2.821263075E-1,1.303958893E-2,3.249632212E-1
1.134585529E0,-3.498115242E-1,3.216240406E-1,1.285362244E-2,4.753686375E-1
